GENEID,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL
ENSMUSG00000033845,2065.60105670575,-0.169396232824643,0.0609142007751371,0.00518989392068269,0.0108158083607217,Mrpl15
ENSMUSG00000025903,3149.10529926032,-0.189620422188481,0.0794004910140065,0.015683440186092,0.0296572749719521,Lypla1
ENSMUSG00000033813,3325.36100463326,0.0427121382239836,0.061946557098198,0.489587578628507,0.586180562591259,Tcea1
ENSMUSG00000002459,3.60178413400662,-0.079255295926697,0.601264292591171,0.767866805217756,0.828438887158543,Rgs20
ENSMUSG00000033793,2588.02381215012,-0.209814870645785,0.0537322867506666,8.71014695144087e-05,0.000240536552401251,Atp6v1h
ENSMUSG00000025905,2.06336969814628,0.321086583180365,0.723661790623176,0.197430498080198,0.278862299310302,Oprk1
ENSMUSG00000025907,5847.45526517164,-0.0262345941352302,0.0583579164487465,0.647368466359544,0.728663726080129,Rb1cc1
ENSMUSG00000033740,1.396692682777,0.0815534624878653,0.639067853883621,0.681449857498062,0.757285338857526,St18
ENSMUSG00000051285,3535.03273110378,0.461600508108838,0.0584639990583489,2.39728212286108e-15,1.59253138208656e-14,Pcmtd1
ENSMUSG00000061024,1383.52576891371,-0.0689717099314045,0.0819819316129178,0.395524888009348,0.496133884001097,Rrs1
ENSMUSG00000025911,6.72804771524508,0.286554383598672,0.548218221290214,0.409155120745152,0.510436331462159,Adhfe1
ENSMUSG00000025912,287.45920899966,-0.789452046492688,0.135948819341029,2.84103778907796e-09,1.26099605278009e-08,Mybl1
ENSMUSG00000045210,5864.15504455001,-0.111848951456406,0.0433374810037798,0.00993872872179363,0.0195412742683455,Vcpip1
ENSMUSG00000025915,500.143715137999,-0.582975302412712,0.0995217433861171,2.99079525917328e-09,1.32547961728027e-08,Sgk3
ENSMUSG00000046101,23.5314076791767,-0.0562018196177556,0.34995195983305,0.849071903104219,0.891897647104351,Mcmdc2
ENSMUSG00000025917,2653.20499084747,-0.257653745640744,0.0502520755829795,2.67769384345081e-07,9.85426758641076e-07,Cops5
ENSMUSG00000056763,2886.77106146182,-0.0689770581645259,0.067159637664321,0.305601736472532,0.401235891341686,Cspp1
ENSMUSG00000067851,11669.7943590266,0.441652213853136,0.0497799639402104,6.25418168188996e-19,4.87870016226749e-18,Arfgef1
ENSMUSG00000042501,0.981895181355654,0.270010539149051,0.717066392364756,0.167102058905759,0.241633330885911,Cpa6
ENSMUSG00000048960,10.7371684489785,0.0697364064378985,0.447000154943923,0.836345550090367,0.881857706552663,Prex2
ENSMUSG00000016918,1.70021655984959,-0.206294789523461,0.68058359659117,0.298273777832181,0.393172187431859,Sulf1
ENSMUSG00000025938,58.0310870734855,-1.88568169269979,0.304681003024489,7.86534712816231e-11,3.94102211523038e-10,Slco5a1
ENSMUSG00000042414,1.1220807486995,-0.00838012451707171,0.645419752472368,0.964767362218877,0.975918569392576,Prdm14
ENSMUSG00000005886,11537.3010595152,0.0869296352734393,0.0621270101075156,0.163383340333042,0.23700397389963,Ncoa2
ENSMUSG00000025935,10448.9459697636,-0.210066853242407,0.0410993848307451,2.99097789502023e-07,1.09554323180402e-06,Tram1
ENSMUSG00000025937,1269.38842515966,-0.393082128334331,0.0649662439755961,1.18128016782963e-09,5.39964273898179e-09,Lactb2
ENSMUSG00000025932,2.97274600659473,-0.421175220252812,0.750059642086507,0.161317615280146,0.234444053627587,Eya1
ENSMUSG00000025930,218.9213937643,0.773470297721924,0.144867916398129,4.37537563440097e-08,1.73832189830906e-07,Msc
ENSMUSG00000032769,4.53185614613241,-0.227931869066144,0.595574826839725,0.466653675736451,0.564273147607113,Trpa1
ENSMUSG00000025925,1967.52836898164,0.0477114792832453,0.0735150565697456,0.514591391306524,0.610408825670862,Terf1
ENSMUSG00000032719,42.1909603261199,-0.290809793297485,0.333038500305298,0.312497543574735,0.408602210324595,Sbspon
ENSMUSG00000043716,46475.7185407819,-0.00439034036629292,0.0444839464827399,0.883241859244859,0.919359994876147,Rpl7
ENSMUSG00000025921,594.914291241466,0.128469189552325,0.0863353929254311,0.133303345276951,0.198946111585011,Rdh10
ENSMUSG00000025920,69.4391973613406,0.946695289182371,0.282782795740726,0.00027644458681428,0.000710401480269359,Stau2
ENSMUSG00000025939,986.161480398452,0.245127085976504,0.0779750258399316,0.00156608086585432,0.00356568367849731,Ube2w
ENSMUSG00000079658,2688.5113297107,-0.161023433825219,0.0608467198045762,0.007828562546368,0.0157399777164843,Tceb1
ENSMUSG00000025940,1070.54493481262,-0.0616773348346888,0.078996646033137,0.432886998125547,0.533379234105811,Tmem70
ENSMUSG00000025779,129.671011665621,0.31280362269318,0.179216276565428,0.0701407760919342,0.113652278964026,Ly96
ENSMUSG00000042686,1.84241549014869,-0.285425790252124,0.692729061251576,0.256568216406401,0.346464951038395,Jph1
ENSMUSG00000025777,1.10502118481281,0.208043202561108,0.706066800464712,0.156309580659404,0.228144912162672,Gdap1
ENSMUSG00000067780,3.1504807391083,0.105476522375824,0.57481425538405,0.733195972805385,0.80114295367441,Pi15
ENSMUSG00000025929,6.93844475881492,0.251940564106365,0.518508528030602,0.469062992140133,0.566395108251995,Il17a
ENSMUSG00000041872,8.94535149803975,0.154559457977373,0.491139597895491,0.649618450717659,0.730457357101176,Il17f
ENSMUSG00000041859,10779.9915736692,-0.501089012145139,0.0366507351124402,1.22465968948766e-42,2.02309105438375e-41,Mcm3
ENSMUSG00000025931,238.809117813268,1.18010278517683,0.144991686448341,1.0437878649623e-16,7.38760897791129e-16,Paqr8
ENSMUSG00000041809,12.6992918827578,0.755463944141255,0.652101596863029,0.072654419619057,0.117298222492038,Efhc1
ENSMUSG00000041779,1033.60605385337,-0.317973503096113,0.0901758252907567,0.000367528447647037,0.00092523564276754,Tram2
ENSMUSG00000025933,65.5801813972003,0.166183914763999,0.247191754512876,0.469545382012517,0.566845781229928,Tmem14a
ENSMUSG00000025934,8.4668515573043,0.387643088415404,0.624539337607984,0.268828796502524,0.359901597792739,Gsta3
ENSMUSG00000067750,9.1931077367701,-1.02885632927307,1.67395341973813,0.0223370608781319,0.0408267903742272,Khdc1a
ENSMUSG00000041722,6.11850308276992,-0.282266800224476,0.719555757023362,0.254164008275409,0.343724882447636,Khdc1c
ENSMUSG00000085079,1.80406871473433,-0.178517147348491,0.684748822623286,0.419554186385336,0.520522707356147,Khdc1b
